spp;unknown;artif;opena;fores;waterbodies;
366;Microspingus cinereus;1;0;1;0;0
367;Milvago chimachima;1;1;1;0;0
368;Mimus gilvus;1;1;1;1;0
369;Mimus saturninus;1;1;1;1;0
370;Mionectes oleagineus;1;1;0;1;0
371;Molothrus bonariensis;1;1;1;1;0
372;Momotus momota;1;1;0;1;0
373;Monasa nigrifrons;1;1;1;1;0
374;Morphnus guianensis;1;0;0;1;0
375;Mycteria americana;1;0;1;1;1
376;Myiarchus ferox;1;1;1;1;0
377;Myiarchus swainsoni;1;1;1;1;0
378;Myiarchus tuberculifer;1;1;0;1;0
379;Myiarchus tyrannulus;1;1;1;1;0
380;Myiobius atricaudus;1;1;1;1;0
381;Myiobius barbatus;1;0;0;1;0
382;Myiodynastes solitarius;1;1;1;1;0
383;Myiopagis caniceps;1;0;0;1;0
384;Myiopagis gaimardii;1;1;0;1;0
385;Myiopagis viridicata;1;1;1;1;0
386;Myiophobus fasciatus;1;1;1;1;0
387;Myiornis auricularis;1;1;1;1;0
388;Myiothlypis flaveola;1;0;0;1;0
389;Myiozetetes cayanensis;1;1;1;1;0
390;Myiozetetes similis;1;1;1;1;0
391;Myrmoderus loricatus;1;0;0;1;0
392;Myrmoderus ruficauda;1;1;0;1;0
393;Myrmorchilus strigilatus;1;0;1;0;0
394;Myrmotherula luctuosa;1;1;0;1;0
395;Myrmotherula snowi;1;0;0;1;0
396;Nasica longirostris;1;1;0;1;0
397;Nemosia pileata;1;0;1;1;0
398;Neocrex erythrops;1;1;1;0;1
399;Neomorphus geoffroyi;1;0;0;1;0
400;Neopelma aurifrons;1;0;0;1;0
401;Neopelma pallescens;1;0;0;1;0
402;Neothraupis fasciata;1;0;1;0;0
403;Netta erythrophthalma;1;1;1;1;1
404;Nomonyx dominicus;1;0;0;1;1
405;Nonnula rubecula;1;1;0;1;0
406;Nothura boraquira;1;1;1;0;0
407;Nothura maculosa;1;1;1;0;0
408;Numenius phaeopus;1;0;1;1;1
409;Nyctanassa violacea;1;0;0;1;1
410;Nyctibius griseus;1;1;1;1;0
411;Nycticorax nycticorax;1;0;0;1;1
412;Nyctidromus albicollis;1;1;1;1;0
413;Nyctiphrynus ocellatus;1;0;0;1;0
414;Nyctipolus hirundinaceus;1;0;0;1;0
415;Nyctiprogne vielliardi;1;0;1;0;0
416;Nystalus chacuru;1;1;1;1;0
417;Nystalus maculatus;1;1;1;1;0
418;Oceanites oceanicus;1;0;0;0;0
419;Odontophorus capueira;1;1;0;1;0
420;Onychoprion fuscatus;1;0;1;0;1
421;Opisthocomus hoazin;1;0;0;1;0
422;Ornithion inerme;1;0;1;1;0
423;Ortalis araucuan;1;1;1;1;0
424;Ortalis superciliaris;1;1;1;1;0
425;Orthopsittaca manilatus;1;1;1;1;0
426;Oxyruncus cristatus;1;0;0;1;0
427;Pachyramphus castaneus;1;1;0;1;0
428;Pachyramphus marginatus;1;0;0;1;0
429;Pachyramphus polychopterus;1;1;0;1;0
430;Pachyramphus validus;1;0;0;1;0
431;Pachyramphus viridis;1;1;1;1;0
432;Pandion haliaetus;1;0;0;1;0
433;Panyptila cayennensis;1;1;0;1;0
434;Parabuteo unicinctus;1;0;1;1;0
435;Pardirallus maculatus;1;1;1;1;1
436;Pardirallus nigricans;1;1;1;1;1
437;Paroaria dominicana;1;0;1;1;0
438;Passer domesticus;1;1;1;1;0
439;Patagioenas cayennensis;1;1;1;1;0
440;Patagioenas picazuro;1;1;1;1;0
441;Patagioenas plumbea;1;0;0;1;0
442;Patagioenas speciosa;1;0;1;1;0
443;Penelope jacucaca;1;0;1;1;0
444;Penelope superciliaris;1;0;1;1;0
445;Phacellodomus erythrophthalmus;1;0;0;1;0
446;Phacellodomus ruber;1;1;1;1;0
447;Phacellodomus rufifrons;1;1;1;1;0
448;Phaeomyias murina;1;1;1;1;0
449;Phaethon aethereus;1;1;1;1;1
450;Phaethon lepturus;1;1;1;1;1
451;Phaethornis eurynome;1;0;0;1;0
452;Phaethornis malaris;1;0;1;1;0
453;Phaethornis nattereri;1;0;1;1;0
454;Phaethornis pretrei;1;1;1;1;0
455;Phaethornis ruber;1;1;1;1;0
456;Phaetusa simplex;1;0;1;0;1
457;Phalacrocorax brasilianus;1;1;1;1;1
458;Pheugopedius genibarbis;1;1;0;1;0
459;Phibalura flavirostris;1;1;0;1;0
460;Philohydor lictor;1;1;1;1;0
461;Philydor atricapillus;1;0;0;1;0
462;Philydor rufum;1;0;0;1;0
463;Phimosus infuscatus;1;1;1;1;1
464;Phyllomyias burmeisteri;1;0;0;1;0
465;Phyllomyias fasciatus;1;0;0;1;0
466;Phyllomyias reiseri;1;0;0;1;0
467;Phylloscartes beckeri;1;0;0;1;0
468;Phylloscartes ceciliae;1;0;0;1;0
469;Phylloscartes roquettei;1;0;1;1;0
470;Piaya cayana;1;1;1;1;0
471;Piculus chrysochloros;1;1;1;1;0
472;Piculus flavigula;1;0;1;1;0
473;Picumnus cirratus;1;0;1;1;0
